Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
2024.05.16,11:00:00,2389.18,2391.40,2385.33,2386.01,6198,0,9
2024.05.16,12:00:00,2386.00,2387.73,2383.67,2385.42,5386,0,9
2024.05.16,13:00:00,2385.43,2385.71,2380.89,2384.86,4972,0,9
2024.05.16,14:00:00,2384.86,2386.56,2381.49,2384.59,5937,0,9
2024.05.16,15:00:00,2384.58,2386.26,2377.89,2379.11,10705,0,14
2024.05.16,16:00:00,2379.10,2382.17,2371.71,2375.14,13449,0,9
2024.05.16,17:00:00,2375.15,2378.99,2370.95,2373.28,10793,0,9
2024.05.16,18:00:00,2373.31,2382.35,2373.09,2381.53,7975,0,9
2024.05.16,19:00:00,2381.57,2383.71,2379.13,2381.91,6363,0,11
2024.05.16,20:00:00,2381.92,2382.39,2379.81,2381.42,4147,0,11
2024.05.16,21:00:00,2381.47,2381.98,2378.36,2379.67,3306,0,10
2024.05.16,22:00:00,2379.67,2381.86,2377.76,2378.07,2922,0,10
2024.05.16,23:00:00,2378.10,2378.30,2375.87,2376.18,1124,0,10
2024.05.17,01:00:00,2378.06,2379.41,2377.67,2378.37,812,0,18
2024.05.17,02:00:00,2378.40,2379.68,2377.84,2377.84,1370,0,12
2024.05.17,03:00:00,2377.83,2379.68,2377.51,2377.98,3271,0,12
2024.05.17,04:00:00,2377.98,2378.84,2376.15,2378.13,5937,0,12
2024.05.17,05:00:00,2378.29,2381.19,2373.93,2375.07,5805,0,11
2024.05.17,06:00:00,2375.07,2377.80,2374.61,2377.79,3494,0,11
2024.05.17,07:00:00,2377.80,2379.05,2376.48,2378.80,2010,0,13
2024.05.17,08:00:00,2378.80,2382.33,2378.52,2381.31,5191,0,16
2024.05.17,09:00:00,2381.26,2386.71,2380.90,2385.98,6723,0,9
2024.05.17,10:00:00,2385.99,2387.84,2382.91,2383.85,5752,0,9
2024.05.17,11:00:00,2383.89,2385.67,2381.35,2384.27,5763,0,9
2024.05.17,12:00:00,2384.26,2386.57,2381.73,2382.50,3992,0,9
2024.05.17,13:00:00,2382.48,2387.56,2381.83,2387.40,4014,0,9
2024.05.17,14:00:00,2387.41,2390.15,2385.80,2389.76,5064,0,9
2024.05.17,15:00:00,2389.75,2393.97,2386.85,2393.26,8511,0,9
2024.05.17,16:00:00,2393.26,2405.13,2393.26,2401.61,14213,0,9
2024.05.17,17:00:00,2401.59,2415.48,2398.79,2413.45,13011,0,9
2024.05.17,18:00:00,2413.37,2419.08,2403.60,2407.76,11525,0,9
2024.05.17,19:00:00,2407.83,2414.15,2407.71,2407.83,7930,0,11
2024.05.17,20:00:00,2407.84,2414.31,2405.75,2414.18,8259,0,10
2024.05.17,21:00:00,2414.24,2419.16,2413.25,2417.41,6373,0,10
2024.05.17,22:00:00,2417.43,2417.84,2411.48,2416.36,4992,0,10
2024.05.17,23:00:00,2416.39,2422.69,2414.81,2415.56,2847,0,11
2024.05.20,01:00:00,2425.31,2425.31,2416.80,2417.78,3608,0,17
2024.05.20,02:00:00,2417.72,2420.57,2417.17,2420.27,3632,0,15
2024.05.20,03:00:00,2420.26,2426.46,2416.48,2425.38,6640,0,15
2024.05.20,04:00:00,2425.37,2440.63,2425.37,2434.61,12409,0,20
2024.05.20,05:00:00,2434.73,2437.07,2428.79,2434.02,8018,0,14
2024.05.20,06:00:00,2433.95,2438.88,2430.89,2437.58,5765,0,16
2024.05.20,07:00:00,2437.49,2439.60,2435.11,2437.27,3818,0,13
2024.05.20,08:00:00,2437.28,2450.01,2436.96,2449.50,7814,0,13
2024.05.20,09:00:00,2449.65,2449.73,2431.90,2438.74,11038,0,14
2024.05.20,10:00:00,2438.70,2443.66,2435.61,2442.26,8959,0,9
2024.05.20,11:00:00,2442.24,2443.67,2436.94,2440.03,6519,0,11
2024.05.20,12:00:00,2440.08,2447.12,2438.66,2441.68,6717,0,10
2024.05.20,13:00:00,2441.70,2443.03,2434.55,2436.25,6264,0,11
2024.05.20,14:00:00,2436.25,2437.16,2427.67,2430.62,8808,0,9
2024.05.20,15:00:00,2430.50,2430.82,2407.31,2413.79,14483,0,9
2024.05.20,16:00:00,2413.42,2422.62,2410.38,2420.09,15019,0,9
2024.05.20,17:00:00,2420.23,2423.55,2414.77,2422.96,11717,0,9
2024.05.20,18:00:00,2423.04,2426.94,2419.47,2424.84,10339,0,9
2024.05.20,19:00:00,2424.88,2428.08,2422.48,2426.53,6279,0,10
2024.05.20,20:00:00,2426.53,2436.68,2425.62,2435.33,6908,0,10
2024.05.20,21:00:00,2435.34,2437.28,2431.86,2435.21,5925,0,10
2024.05.20,22:00:00,2435.22,2435.32,2426.04,2426.65,5407,0,10
2024.05.20,23:00:00,2426.99,2427.98,2423.27,2424.61,2682,0,10
2024.05.21,01:00:00,2427.17,2430.48,2426.42,2427.29,1965,0,11
2024.05.21,02:00:00,2427.30,2428.57,2425.21,2426.23,1831,0,11
2024.05.21,03:00:00,2426.24,2429.83,2424.33,2428.82,4298,0,12
2024.05.21,04:00:00,2428.82,2433.01,2419.60,2420.41,12849,0,18
2024.05.21,05:00:00,2420.34,2422.52,2411.48,2413.94,10858,0,11
2024.05.21,06:00:00,2413.93,2417.13,2406.13,2413.84,7604,0,11
2024.05.21,07:00:00,2413.78,2415.86,2410.61,2412.35,4791,0,13
2024.05.21,08:00:00,2412.36,2418.00,2412.11,2416.42,6382,0,11
2024.05.21,09:00:00,2416.53,2417.37,2409.62,2410.59,9306,0,9
2024.05.21,10:00:00,2410.64,2422.13,2408.54,2419.27,8891,0,11
2024.05.21,11:00:00,2419.30,2419.93,2414.35,2418.74,7193,0,10
2024.05.21,12:00:00,2418.68,2420.14,2412.18,2416.34,6320,0,9
2024.05.21,13:00:00,2416.35,2420.01,2414.98,2419.80,5111,0,10
2024.05.21,14:00:00,2419.79,2423.74,2417.33,2423.45,6307,0,9
2024.05.21,15:00:00,2423.52,2429.90,2422.36,2426.23,9891,0,9
2024.05.21,16:00:00,2426.30,2431.46,2420.42,2427.70,14971,0,9
2024.05.21,17:00:00,2427.77,2431.66,2425.36,2429.54,11974,0,9
2024.05.21,18:00:00,2429.54,2433.87,2420.05,2423.45,11479,0,9
2024.05.21,19:00:00,2423.42,2423.68,2417.99,2422.84,8739,0,9
2024.05.21,20:00:00,2422.86,2423.78,2418.51,2419.90,6352,0,10
2024.05.21,21:00:00,2419.90,2420.58,2417.32,2420.46,3990,0,10
2024.05.21,22:00:00,2420.50,2425.01,2419.91,2423.28,3560,0,10
2024.05.21,23:00:00,2423.28,2423.36,2421.05,2421.26,1184,0,10
2024.05.22,01:00:00,2421.22,2422.24,2421.06,2422.02,1006,0,19
2024.05.22,02:00:00,2422.01,2422.18,2421.24,2421.72,1795,0,15
2024.05.22,03:00:00,2421.72,2423.11,2420.36,2420.51,3739,0,13
2024.05.22,04:00:00,2420.52,2423.34,2419.32,2421.94,7868,0,15
2024.05.22,05:00:00,2421.93,2426.46,2415.93,2417.78,8431,0,11
2024.05.22,06:00:00,2417.77,2419.57,2412.59,2414.17,7164,0,12
2024.05.22,07:00:00,2414.16,2416.16,2412.10,2412.88,4473,0,11
2024.05.22,08:00:00,2412.86,2417.33,2411.58,2417.05,7152,0,16
2024.05.22,09:00:00,2417.15,2418.02,2413.75,2417.09,8069,0,9
2024.05.22,10:00:00,2417.04,2418.44,2412.29,2417.27,7542,0,10
2024.05.22,11:00:00,2417.23,2417.47,2410.57,2416.85,7322,0,12
2024.05.22,12:00:00,2416.86,2417.98,2414.44,2417.29,6480,0,9
2024.05.22,13:00:00,2417.29,2419.31,2414.24,2414.76,4917,0,10
2024.05.22,14:00:00,2414.77,2415.21,2404.74,2408.61,8035,0,9
2024.05.22,15:00:00,2408.68,2415.04,2408.63,2412.45,10125,0,9
2024.05.22,16:00:00,2412.41,2413.25,2405.81,2411.64,12710,0,9
2024.05.22,17:00:00,2411.60,2411.60,2382.22,2388.61,15920,0,9
2024.05.22,18:00:00,2388.58,2395.23,2386.64,2392.07,11004,0,9
2024.05.22,19:00:00,2391.97,2394.95,2389.43,2391.91,7493,0,10
2024.05.22,20:00:00,2391.90,2394.35,2386.70,2388.56,6721,0,10
2024.05.22,21:00:00,2388.50,2390.68,2374.98,2377.83,11000,0,10
2024.05.22,22:00:00,2377.80,2380.03,2376.80,2379.25,6336,0,10
2024.05.22,23:00:00,2379.17,2380.57,2377.51,2378.49,3058,0,10
2024.05.23,01:00:00,2379.37,2381.27,2379.00,2380.63,1585,0,18
2024.05.23,02:00:00,2380.69,2382.73,2380.39,2382.23,2256,0,18
2024.05.23,03:00:00,2382.28,2383.65,2378.94,2380.31,4743,0,17
2024.05.23,04:00:00,2380.29,2381.87,2366.64,2373.03,12429,0,15
2024.05.23,05:00:00,2373.02,2375.66,2368.10,2369.51,8156,0,14
2024.05.23,06:00:00,2369.52,2372.88,2367.86,2372.44,5607,0,11
2024.05.23,07:00:00,2372.39,2373.91,2371.49,2372.77,3316,0,12
2024.05.23,08:00:00,2372.76,2373.13,2358.41,2359.79,7152,0,11
2024.05.23,09:00:00,2359.94,2367.15,2354.95,2364.26,9535,0,10
2024.05.23,10:00:00,2364.27,2364.75,2355.10,2356.10,9486,0,10
2024.05.23,11:00:00,2356.09,2361.83,2355.12,2360.43,7534,0,10
2024.05.23,12:00:00,2360.46,2364.25,2358.76,2364.04,6140,0,9
2024.05.23,13:00:00,2364.06,2367.69,2363.54,2366.36,5337,0,9
2024.05.23,14:00:00,2366.40,2369.37,2365.57,2368.06,6617,0,9
2024.05.23,15:00:00,2368.05,2369.25,2360.72,2362.85,9919,0,9
2024.05.23,16:00:00,2362.84,2369.87,2350.65,2358.71,14624,0,7
2024.05.23,17:00:00,2358.71,2363.87,2341.53,2346.01,16091,0,9
2024.05.23,18:00:00,2345.96,2349.82,2340.41,2346.06,11992,0,9
2024.05.23,19:00:00,2346.07,2350.10,2340.02,2340.97,8168,0,10
