Gmt time,Open,High,Low,Close,Volume
24.02.2021 01:00:00.000,10.28994,10.28994,10.25109,10.25732,6481
24.02.2021 02:00:00.000,10.25731,10.27705,10.25666,10.27570,10881.5195
24.02.2021 03:00:00.000,10.27568,10.27982,10.26655,10.27672,7716.21
24.02.2021 04:00:00.000,10.27672,10.29399,10.27598,10.28315,14189.1904
24.02.2021 05:00:00.000,10.28292,10.30019,10.28207,10.28915,7215.4702
24.02.2021 06:00:00.000,10.28912,10.29635,10.28427,10.28458,2939.3701
24.02.2021 07:00:00.000,10.28460,10.28637,10.25454,10.26408,5327.8198
24.02.2021 08:00:00.000,10.26367,10.28215,10.25624,10.26456,6543.8301
24.02.2021 09:00:00.000,10.26455,10.27509,10.25976,10.26235,5755.4502
24.02.2021 10:00:00.000,10.26234,10.27159,10.25784,10.25928,4319.3301
24.02.2021 11:00:00.000,10.25945,10.26349,10.25290,10.25422,3246.8601
24.02.2021 12:00:00.000,10.25417,10.25520,10.23569,10.23932,6118.1499
24.02.2021 13:00:00.000,10.23929,10.28440,10.23889,10.28072,7426.8799
24.02.2021 14:00:00.000,10.28073,10.28289,10.26261,10.26394,10017.1699
24.02.2021 15:00:00.000,10.26364,10.26565,10.23544,10.23574,11672.7305
24.02.2021 16:00:00.000,10.23574,10.24026,10.21496,10.21911,4949.02
24.02.2021 17:00:00.000,10.21888,10.22053,10.20797,10.21894,7640.0898
24.02.2021 18:00:00.000,10.21903,10.22414,10.21221,10.21519,3640.55
24.02.2021 19:00:00.000,10.21519,10.21844,10.20962,10.21031,4723.3599
24.02.2021 20:00:00.000,10.21031,10.21089,10.18631,10.19052,3806.5
24.02.2021 21:00:00.000,10.19062,10.19222,10.18605,10.18987,3639.4299
24.02.2021 22:00:00.000,10.19008,10.19654,10.18843,10.19314,194.5
24.02.2021 23:00:00.000,10.19214,10.19655,10.18715,10.18906,3613.3501
25.02.2021 00:00:00.000,10.18937,10.19753,10.18874,10.19262,4261.8599
25.02.2021 01:00:00.000,10.19262,10.19789,10.19105,10.19358,3569.47
25.02.2021 02:00:00.000,10.19358,10.19645,10.19118,10.19444,5877.0601
25.02.2021 03:00:00.000,10.19464,10.19514,10.19099,10.19264,6901.5098
25.02.2021 04:00:00.000,10.19274,10.19364,10.18919,10.19294,7588.2798
25.02.2021 05:00:00.000,10.19284,10.19414,10.18596,10.18936,5494.5298
25.02.2021 06:00:00.000,10.18916,10.19084,10.18554,10.18878,2415.4199
25.02.2021 07:00:00.000,10.18878,10.19814,10.18184,10.18950,4662.7798
25.02.2021 08:00:00.000,10.18950,10.20196,10.18164,10.18468,4557.9102
25.02.2021 09:00:00.000,10.18473,10.19687,10.17819,10.17992,6192.9302
25.02.2021 10:00:00.000,10.17994,10.19254,10.17710,10.17865,6072.8999
25.02.2021 11:00:00.000,10.17867,10.20671,10.17341,10.20084,8355.71
25.02.2021 12:00:00.000,10.20081,10.21821,10.19807,10.21370,7103.6699
25.02.2021 13:00:00.000,10.21370,10.24175,10.21370,10.24088,8688.0195
25.02.2021 14:00:00.000,10.24088,10.25254,10.22248,10.22974,9574.1201
25.02.2021 15:00:00.000,10.22984,10.27499,10.22777,10.25625,9218.8203
25.02.2021 16:00:00.000,10.25618,10.29142,10.25074,10.28172,7479.1899
25.02.2021 17:00:00.000,10.28172,10.31175,10.28170,10.30686,7475.5
25.02.2021 18:00:00.000,10.30686,10.34862,10.30494,10.32480,9625.54
25.02.2021 19:00:00.000,10.32479,10.33068,10.29597,10.30448,11400.1104
25.02.2021 20:00:00.000,10.30449,10.34699,10.30402,10.33027,12108.21
25.02.2021 21:00:00.000,10.33042,10.34745,10.32387,10.33482,6735
25.02.2021 22:00:00.000,10.33024,10.33214,10.29605,10.30821,660.47
25.02.2021 23:00:00.000,10.30664,10.34024,10.30517,10.33754,6441.6499
26.02.2021 00:00:00.000,10.33764,10.38194,10.33484,10.36526,14646.6299
26.02.2021 01:00:00.000,10.36554,10.36984,10.35094,10.35424,11017.2598
26.02.2021 02:00:00.000,10.35364,10.36681,10.34494,10.35519,13966.1104
